SETID,ZIP_FILE_NAME,UPLOAD_DATE,SPL_VERSION,TITLE
a661a6c8-0eb3-0b28-e053-2a95a90a66fe,20200524_a661a6c8-0eb3-0b28-e053-2a95a90a66fe.zip,05/26/2020,1,"(BIOTEMED) INSTANT HAND SANITIZER (ALCOHOL) GEL [QINGDAO HEALTH OCEAN BIOPHARMACEUTICAL CO., LTD.]"
94d13f48-fbca-67b4-e053-2995a90a791b,20240131_94d13f48-fbca-67b4-e053-2995a90a791b.zip,01/31/2024,4,"(CHLOROPROCAINE HCI INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
25500fd1-4fee-43db-9c71-45912594fe06,20091231_25500fd1-4fee-43db-9c71-45912594fe06.zip,10/09/2010,1,(DEODORANT PLUS ANTIPERSPIRANT) STICK [RAANI CORPORATION]
7508ce57-40bc-4d50-8025-44d28bfc2ccb,20091231_7508ce57-40bc-4d50-8025-44d28bfc2ccb.zip,10/09/2010,1,(DEODORANT PLUS ANTIPERSPIRANT) STICK [RAANI CORPORATION]
a338f711-734c-07d3-e053-2a95a90aed79,20200419_a338f711-734c-07d3-e053-2a95a90aed79.zip,04/20/2020,3,(ETHANOL62%) DR KEEPS GEL (ETHANOL) (ALCOHOL) GEL [THE GUNG CO LTD]
a39f4d92-398f-59cd-e053-2995a90a4f49,20200419_a39f4d92-398f-59cd-e053-2995a90a4f49.zip,04/20/2020,1,(ETHANOL70%) DR KEEPS ONE GEL (ETHANOL) (ALCOHOL) GEL [THE GUNG CO LTD]
a33959b4-3d4d-290f-e053-2a95a90a460b,20200414_a33959b4-3d4d-290f-e053-2a95a90a460b.zip,04/14/2020,1,(ETHANOL72%) DR KEEPS 72 GEL (ETHANOL) (ALCOHOL) GEL [THE GUNG CO LTD]
a51de42d-7afa-11ab-e053-2a95a90a01e5,20200509_a51de42d-7afa-11ab-e053-2a95a90a01e5.zip,05/11/2020,1,"(FRULI) 75% ALCOHOL DISINFECTANT (ALCOHOL) LIQUID [SHANDONG ZHUOJIAN MEDICAL TECHNOLOGY CO., LTD.]"
a548ab68-71c8-709a-e053-2995a90af1f7,20200613_a548ab68-71c8-709a-e053-2995a90af1f7.zip,06/15/2020,2,"(FRULI) HAND ANTISEPTIC RINSE FREE GEL (ALCOHOL) GEL [SHANDONG ZHUOJIAN MEDICAL TECHNOLOGY CO., LTD.]"
a5486903-f5da-bd0e-e053-2995a90ac507,20200511_a5486903-f5da-bd0e-e053-2995a90ac507.zip,05/11/2020,1,"(FRULI) QUICK-DRY DISPOSABLE HAND SANITIZER (ALCOHOL) LIQUID [SHANDONG ZHUOJIAN MEDICAL TECHNOLOGY CO., LTD.]"
eb556291-8de5-6bc4-e053-2a95a90a1494,20221020_eb556291-8de5-6bc4-e053-2a95a90a1494.zip,10/20/2022,1,"(GLOW)SETTING 100% MINERAL POWDER SPF 35 (ZINC OXIDE) POWDER [SUPERGOOP, LLC]"
f5849afe-d254-4720-8519-19956df18ae7,20110113_f5849afe-d254-4720-8519-19956df18ae7.zip,01/13/2011,3,(NATRUM MURIATICUM) SHAMPOO [ADVANCED NATURAL SOLUTIONS]
fc9282f3-3960-45b5-9d3d-39c5f3bb9a04,20160627_fc9282f3-3960-45b5-9d3d-39c5f3bb9a04.zip,06/27/2016,1,"(OCTINOXATE, OCTISALATE, OXYBENZONE, TITANIUM DIOXIDE) LOTION [SHANGHAI KEJING CLEANING PRODUCTS CO., LTD.]"
acc70903-6f3a-45db-a1d5-f586341d2214,20160627_acc70903-6f3a-45db-a1d5-f586341d2214.zip,06/27/2016,1,"(OCTINOXATE, OCTISALATE, OXYBENZONE, TITANIUM DIOXIDE) SPRAY [SHANGHAI KEJING CLEANING PRODUCTS CO., LTD.]"
a5aac064-adf3-e1a7-e053-2a95a90a93be,20200522_a5aac064-adf3-e1a7-e053-2a95a90a93be.zip,05/22/2020,1,"(QIQING) CHLORHEXIDINE GLUCONATE ALCOHOL DISINFECTANT (ALCOHOL) LIQUID [QINGDAO PRECISION MEDICAL TECHNOLOGY CO., LTD. ZIBO BRANCH]"
a894146e-e484-9dd8-e053-2995a90a1169,20200622_a894146e-e484-9dd8-e053-2995a90a1169.zip,06/22/2020,1,"(QIQING) SKIN DISINFECTANT (BENZETHONIUM CHLORIDE) LIQUID [QINGDAO PRECISION MEDICAL TECHNOLOGY CO.,LTD. ZIBO BRANCH]"
a8950eb2-a2aa-50a6-e053-2995a90a25e5,20200622_a8950eb2-a2aa-50a6-e053-2995a90a25e5.zip,06/22/2020,1,"(QIQING) SODIUM HYPOCHLORITE DISINFECTANT (SODIUM HYPOCHLORITE) LIQUID [QINGDAO PRECISION MEDICAL TECHNOLOGY CO., LTD. ZIBO BRANCH]"
af4cb85b-1275-2105-e053-2995a90a7e74,20221019_af4cb85b-1275-2105-e053-2995a90a7e74.zip,10/19/2022,4,"(RE) SETTING 100% MINERAL POWDER DEEP BROAD SPECTRUM SPF 35 (ZINC OXIDE) POWDER [SUPERGOOP, LLC]"
aed5a7ef-5cf2-6738-e053-2a95a90aa7f7,20221019_aed5a7ef-5cf2-6738-e053-2a95a90aa7f7.zip,10/19/2022,4,"(RE) SETTING 100% MINERAL POWDER LIGHT BROAD SPECTRUM SPF 35 (ZINC OXIDE) POWDER [SUPERGOOP, LLC]"
af4b0f17-43ec-a176-e053-2a95a90a7ac6,20221019_af4b0f17-43ec-a176-e053-2a95a90a7ac6.zip,10/19/2022,4,"(RE) SETTING 100% MINERAL POWDER MEDIUM BROAD SPECTRUM SUNSCREEN SPF 35 (ZINC OXIDE) POWDER [SUPERGOOP, LLC]"
af5c9801-26ce-5c60-e053-2995a90ab457,20221019_af5c9801-26ce-5c60-e053-2995a90ab457.zip,10/19/2022,4,"(RE) SETTING 100% MINERAL POWDER TRANSLUCENT BROAD SPECTRUM SUNSCREEN SPF 35 (ZINC OXIDE) POWDER [SUPERGOOP, LLC]"
d4d8f28d-cb00-298d-e053-2995a90a10eb,20221014_d4d8f28d-cb00-298d-e053-2995a90a10eb.zip,10/14/2022,2,"(RE)SETTING REFRESHING MIST SPF 40 (AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE) SPRAY [SUPERGOOP, LLC]"
c38ce5e9-5b1c-4ec8-bf85-12199a84f5a5,20110607_c38ce5e9-5b1c-4ec8-bf85-12199a84f5a5.zip,06/07/2011,4,"(REGIONAL ANESTHESIA KIT) KIT [SMITHS MEDICAL ASD, INC.]"
c59db022-bda8-1732-e053-2a95a90a24f8,20210627_c59db022-bda8-1732-e053-2a95a90a24f8.zip,06/28/2021,1,"(SOTRADECOL) SODIUM TETRADECYL SULFATE INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
14499781-b90e-47d5-a7de-006965439b94,20240224_14499781-b90e-47d5-a7de-006965439b94.zip,02/27/2024,10,".INSULIN ASPART PROTAMINE AND INSULIN ASPART (INSULIN ASPART) INJECTION, SUSPENSION [A-S MEDICATION SOLUTIONS]"
108c74b6-00b6-319a-e063-6294a90a11f9,20240418_108c74b6-00b6-319a-e063-6294a90a11f9.zip,04/18/2024,2,"0.025% CAPSAICIN PATCH (CAPSAICIN PAIN RELIEF PATCH, CAPSAICIN PAIN RELIEF STRIP) PATCH 4% LIDOCAINE PAIN RELIEF PATCH (LIDOCAINE PAIN RELIEF PATCH) PATCH 5% MENTHOL PAIN RELIEF PATCH (PAIN RELIEF PATCH) PATCH 4% LIDOCAINE PLUS 1% MENTHOL PAIN RELIEF PATCH (PAIN RELIEF PATCH, PAIN RELIEF STRIP) PATCH [KOOLCARE TECHNOLOGY CO., LTD.]"
1ac7526d-c253-66d3-e063-6294a90a42d1,20240615_1ac7526d-c253-66d3-e063-6294a90a42d1.zip,06/17/2024,1,"0.025% CAPSAICIN PATCH (CAPSAICIN PAIN RELIEF PATCH, CAPSAICIN PAIN RELIEF STRIP) PATCH 4% LIDOCAINE PAIN RELIEF PATCH (LIDOCAINE PAIN RELIEF PATCH) PATCH 5% MENTHOL PAIN RELIEF PATCH (PAIN RELIEF PATCH) PATCH 4% LIDOCAINE PLUS 1% MENTHOL PAIN RELIEF PATCH (PAIN RELIEF PATCH, PAIN RELIEF STRIP) PATCH [KOOLCARE TECHNOLOGY CO., LTD.]"
52fdfba8-1a6b-4b59-90de-14c5160cf6fe,20240420_52fdfba8-1a6b-4b59-90de-14c5160cf6fe.zip,04/22/2024,2,"0.1% KETOCONAZOLE, 0.15% SALICYLIC ACID (EAR RINSE) SOLUTION, GEL FORMING / DROPS [SERGEANT'S PET CARE PRODUCTS LLC]"
a9a6b624-d6d9-8373-e053-2a95a90a85e3,20200819_a9a6b624-d6d9-8373-e053-2a95a90a85e3.zip,08/19/2020,1,0.13% BENZALKONIUM CHLORIDE INSTANT HAND SANITIZER (HAND SANITIZER) GEL [BJ GOODS LLC]
e52fe254-8872-35ce-e053-2a95a90a339e,20240129_e52fe254-8872-35ce-e053-2a95a90a339e.zip,01/29/2024,2,"0.5% LIDOCAINE HCL INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
c755e41b-acba-7234-e053-2995a90aff0f,20210719_c755e41b-acba-7234-e053-2995a90aff0f.zip,07/19/2021,1,"0.9% SODIUM CHLORIDE (SODIUM CHLORIDE) INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
7860dfb7-a67c-7b5f-e053-2a91aa0ad59f,20200222_7860dfb7-a67c-7b5f-e053-2a91aa0ad59f.zip,02/24/2020,3,"0.9% SODIUM CHLORIDE INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
7882aac1-44e7-cb42-e053-2991aa0a9a43,20200222_7882aac1-44e7-cb42-e053-2991aa0a9a43.zip,02/24/2020,3,"0.9% SODIUM CHLORIDE INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
8dfb05c0-77e8-2fa1-e053-2a95a90a3d33,20200223_8dfb05c0-77e8-2fa1-e053-2a95a90a3d33.zip,02/24/2020,2,"0.9% SODIUM CHLORIDE INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
a2b8220f-e33a-51c3-e053-2995a90a0734,20200408_a2b8220f-e33a-51c3-e053-2995a90a0734.zip,04/08/2020,1,"0.9% SODIUM CHLORIDE INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
a2bba76a-08ce-6902-e053-2995a90ab9c9,20200408_a2bba76a-08ce-6902-e053-2995a90ab9c9.zip,04/08/2020,1,"0.9% SODIUM CHLORIDE INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
a62b71db-8ba2-6f6b-e053-2a95a90a29d1,20200522_a62b71db-8ba2-6f6b-e053-2a95a90a29d1.zip,05/22/2020,1,"0.9% SODIUM CHLORIDE INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
e5247ed5-6170-c13f-e053-2a95a90a4101,20240129_e5247ed5-6170-c13f-e053-2a95a90a4101.zip,01/29/2024,2,"0.9% SODIUM CHLORIDE INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
78825011-268c-784b-e053-2991aa0ae0d4,20200222_78825011-268c-784b-e053-2991aa0ae0d4.zip,02/24/2020,3,"0.9% SODIUM CHLORIDE IRRIGANT [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
fa4eee0a-a6ca-4356-b8f5-7e03294a7be6,20220325_fa4eee0a-a6ca-4356-b8f5-7e03294a7be6.zip,03/25/2022,1,"0.9G TRIPLE ANTIBIOTIC (BACITRACIN ZINC 400 UNITS) OINTMENT [SLED DISTRIBUTION, LLC]"
a6160570-d875-2670-e053-2995a90ab9b2,20200521_a6160570-d875-2670-e053-2995a90ab9b2.zip,05/21/2020,4,"009931121(DUNS) POCAS INTERNATIONAL CORP HAND SANITIZER (ALCOHOL) GEL [SHANTOU S.E.Z BAOJIE INDUSTRY CO., LTD]"
90323a05-4f28-4dbd-bd37-26ce0826374d,20100508_90323a05-4f28-4dbd-bd37-26ce0826374d.zip,10/09/2010,1,01 MOISTURE FOUNDATION SPF 15 (OCTINOXATE AND ZINC OXIDE) EMULSION 02 MOISTURE FOUNDATION SPF 15 (OCTINOXATE AND ZINC OXIDE) EMULSION 03 MOISTURE FOUNDATION SPF 15 (OCTINOXATE AND ZINC OXIDE) EMULSION 04 MOISTURE FOUNDATION SPF 15 (OCTINOXATE AND ZINC OXIDE) EMULSION 05 MOISTURE FOUNDATION SPF 15 (OCTINOXATE AND ZINC OXIDE) EMULSION 06 MOISTURE FOUNDATION SPF 15 (OCTINOXATE AND ZINC OXIDE) EMULSION 07 MOISTURE FOUNDATIO
a97bf65b-35f2-ebea-e053-2a95a90aa482,20200703_a97bf65b-35f2-ebea-e053-2a95a90aa482.zip,07/06/2020,1,"011010 NIACINAMIDE 4% / TRETINOIN 0.025% GEL [SINCERUS FLORIDA, LLC]"
a97a3c99-66f2-2077-e053-2a95a90a1ce7,20200703_a97a3c99-66f2-2077-e053-2a95a90a1ce7.zip,07/06/2020,1,"011013 NIACINAMIDE 4% / TRETINOIN 0.025% CREAM [SINCERUS FLORIDA, LLC]"
a97c5a4b-9615-ddc9-e053-2a95a90a4a1d,20200703_a97c5a4b-9615-ddc9-e053-2a95a90a4a1d.zip,07/06/2020,1,"011020 NIACINAMIDE 4% / TRETINOIN 0.05% GEL [SINCERUS FLORIDA, LLC]"
a97ac56f-1fd1-891b-e053-2995a90a36c1,20200703_a97ac56f-1fd1-891b-e053-2995a90a36c1.zip,07/06/2020,1,"011021 NIACINAMIDE 4% / TRETINOIN 0.05% CREAM [SINCERUS FLORIDA, LLC]"
a97c130d-1426-824b-e053-2995a90ad22f,20200703_a97c130d-1426-824b-e053-2995a90ad22f.zip,07/06/2020,1,"011054 NIACINAMIDE 4% / SPIRONOLACTONE 5% GEL [SINCERUS FLORIDA, LLC]"
a97bc3b8-2643-5fcd-e053-2995a90ae9a9,20200703_a97bc3b8-2643-5fcd-e053-2995a90ae9a9.zip,07/06/2020,1,"011218 NIACINAMIDE 2% / SPIRONOLACTONE 5% / TRETINOIN 0.025% GEL [SINCERUS FLORIDA, LLC]"
a97a7bca-eada-141f-e053-2a95a90a1fe2,20200703_a97a7bca-eada-141f-e053-2a95a90a1fe2.zip,07/06/2020,1,"011220 NIACINAMIDE 2% / SPIRONOLACTONE 5% / TRETINOIN 0.05% GEL [SINCERUS FLORIDA, LLC]"
